1,34.1
2,47.2
3,70.1
4,73.1
5,74.1
6,83.2
7,178.2
8,208.3
9,225.1
10,248.2
11,249.2
12,264.3
13,276.2
14,289.1
15,314.2
16,320.3
17,327.3
18,337.3
19,342.3
20,349.1
21,387.1
22,388.1
23,406.2
24,458.3
25,502.1
26,522.2
27,539.3
28,556.3
29,562.1
30,563.1
31,611.1
32,614.3
33,619.3
34,629.1
35,639.2
36,676.2
37,682.2
38,688.2
39,701.3
40,702.2
41,755.2
42,778.3
43,780.3
44,785.2
45,813.2
46,817.1
47,835.3
48,860.1
49,861.1
50,886.2
51,896.1
52,898.1
53,899.2
54,900.1
55,906.1
56,34.2
57,47.3
58,70.2
59,73.2
60,74.2
61,83.3
62,178.3
63,208.1
64,225.2
65,248.3
66,249.3
67,264.1
68,276.3
69,289.2
70,314.3
71,320.1
72,327.1
73,337.1
74,342.1
75,349.2
76,387.2
77,388.2
78,406.3
79,458.1
80,502.2
81,522.3
82,539.1
83,556.1
84,562.2
85,563.2
86,611.2
87,614.1
88,619.1
89,629.2
90,639.3
91,676.3
92,682.3
93,688.3
94,701.1
95,702.3
96,755.3
97,778.1
98,780.1
99,785.3
100,813.3
101,817.2
102,835.1
103,860.2
104,861.2
105,886.3
106,896.2
107,898.2
108,899.3
109,900.2
110,906.2
111,34.3
112,47.1
113,70.3
114,73.3
115,74.3
116,83.1
117,178.1
118,208.2
119,225.3
120,248.1
121,249.1
122,264.2
123,276.1
124,289.3
125,314.1
126,320.2
127,327.2
128,337.2
129,342.2
130,349.3
131,387.3
132,388.3
133,406.1
134,458.2
135,502.3
136,522.1
137,539.2
138,556.2
139,562.3
140,563.3
141,611.3
142,614.2
143,619.2
144,629.3
145,639.1
146,676.1
147,682.1
148,688.1
149,701.2
150,702.1
151,755.1
152,778.2
153,780.2
154,785.1
155,813.1
156,817.3
157,835.2
158,860.3
159,861.3
160,886.1
161,896.3
162,898.3
163,899.1
164,900.3
165,906.3
